# L	D_L^MCN0
0.0000e+00	0.0000e+00
1.0000e+00	0.0000e+00
2.0000e+00	4.1577e-07
3.0000e+00	3.3745e-07
4.0000e+00	3.1533e-07
5.0000e+00	2.3807e-07
6.0000e+00	2.1472e-07
7.0000e+00	2.2356e-07
8.0000e+00	2.2621e-07
9.0000e+00	2.1802e-07
1.0000e+01	2.2659e-07
1.1000e+01	2.2340e-07
1.2000e+01	2.1290e-07
1.3000e+01	2.0848e-07
1.4000e+01	2.0925e-07
1.5000e+01	1.9947e-07
1.6000e+01	2.0338e-07
1.7000e+01	1.9823e-07
1.8000e+01	2.0397e-07
1.9000e+01	2.0334e-07
2.0000e+01	1.9833e-07
2.1000e+01	1.9246e-07
2.2000e+01	1.9042e-07
2.3000e+01	2.0646e-07
2.4000e+01	2.0330e-07
2.5000e+01	2.1004e-07
2.6000e+01	1.9251e-07
2.7000e+01	2.0130e-07
2.8000e+01	2.0218e-07
2.9000e+01	1.9330e-07
3.0000e+01	1.9765e-07
3.1000e+01	1.9389e-07
3.2000e+01	2.0496e-07
3.3000e+01	1.9173e-07
3.4000e+01	1.9028e-07
3.5000e+01	1.9001e-07
3.6000e+01	1.9654e-07
3.7000e+01	1.9840e-07
3.8000e+01	1.9707e-07
3.9000e+01	1.9694e-07
4.0000e+01	1.9558e-07
4.1000e+01	1.9707e-07
4.2000e+01	1.9013e-07
4.3000e+01	2.0601e-07
4.4000e+01	1.9517e-07
4.5000e+01	2.0393e-07
4.6000e+01	1.8866e-07
4.7000e+01	1.9120e-07
4.8000e+01	1.9294e-07
4.9000e+01	1.9585e-07
5.0000e+01	1.8889e-07
5.1000e+01	1.8988e-07
5.2000e+01	1.9005e-07
5.3000e+01	1.8342e-07
5.4000e+01	1.9730e-07
5.5000e+01	1.8825e-07
5.6000e+01	1.9157e-07
5.7000e+01	1.9173e-07
5.8000e+01	1.8656e-07
5.9000e+01	1.9215e-07
6.0000e+01	1.8970e-07
6.1000e+01	1.8884e-07
6.2000e+01	1.9230e-07
6.3000e+01	1.8917e-07
6.4000e+01	1.9185e-07
6.5000e+01	1.8310e-07
6.6000e+01	1.9288e-07
6.7000e+01	1.8687e-07
6.8000e+01	1.9017e-07
6.9000e+01	1.8808e-07
7.0000e+01	1.8429e-07
7.1000e+01	1.8797e-07
7.2000e+01	1.8847e-07
7.3000e+01	1.8546e-07
7.4000e+01	1.8850e-07
7.5000e+01	1.7946e-07
7.6000e+01	1.8314e-07
7.7000e+01	1.8637e-07
7.8000e+01	1.8306e-07
7.9000e+01	1.8488e-07
8.0000e+01	1.7834e-07
8.1000e+01	1.8236e-07
8.2000e+01	1.8545e-07
8.3000e+01	1.8756e-07
8.4000e+01	1.8609e-07
8.5000e+01	1.8487e-07
8.6000e+01	1.8662e-07
8.7000e+01	1.8073e-07
8.8000e+01	1.7801e-07
8.9000e+01	1.7728e-07
9.0000e+01	1.8498e-07
9.1000e+01	1.8310e-07
9.2000e+01	1.7915e-07
9.3000e+01	1.8368e-07
9.4000e+01	1.8351e-07
9.5000e+01	1.7726e-07
9.6000e+01	1.8357e-07
9.7000e+01	1.7712e-07
9.8000e+01	1.8074e-07
9.9000e+01	1.8180e-07
1.0000e+02	1.7760e-07
1.0100e+02	1.7733e-07
1.0200e+02	1.7818e-07
1.0300e+02	1.8269e-07
1.0400e+02	1.8206e-07
1.0500e+02	1.7871e-07
1.0600e+02	1.7939e-07
1.0700e+02	1.8010e-07
1.0800e+02	1.7485e-07
1.0900e+02	1.7823e-07
1.1000e+02	1.8118e-07
1.1100e+02	1.8004e-07
1.1200e+02	1.7859e-07
1.1300e+02	1.7944e-07
1.1400e+02	1.7791e-07
1.1500e+02	1.7791e-07
1.1600e+02	1.7827e-07
1.1700e+02	1.7520e-07
1.1800e+02	1.7600e-07
1.1900e+02	1.7693e-07
1.2000e+02	1.7942e-07
1.2100e+02	1.7651e-07
1.2200e+02	1.7769e-07
1.2300e+02	1.7474e-07
1.2400e+02	1.7626e-07
1.2500e+02	1.7732e-07
1.2600e+02	1.7577e-07
1.2700e+02	1.7588e-07
1.2800e+02	1.7404e-07
1.2900e+02	1.7400e-07
