# L	D_L^MCN1
0.0000e+00	0.0000e+00
1.0000e+00	0.0000e+00
2.0000e+00	-1.6969e-08
3.0000e+00	3.3812e-09
4.0000e+00	1.1772e-08
5.0000e+00	1.1742e-08
6.0000e+00	8.4859e-09
7.0000e+00	1.1785e-08
8.0000e+00	1.2844e-08
9.0000e+00	1.1910e-08
1.0000e+01	8.2347e-09
1.1000e+01	1.2750e-08
1.2000e+01	1.2732e-08
1.3000e+01	5.1606e-09
1.4000e+01	3.2721e-09
1.5000e+01	1.4397e-08
1.6000e+01	-4.2103e-09
1.7000e+01	9.9638e-09
1.8000e+01	1.5320e-08
1.9000e+01	1.1881e-08
2.0000e+01	7.8658e-09
2.1000e+01	-1.8053e-10
2.2000e+01	4.5001e-09
2.3000e+01	1.0568e-08
2.4000e+01	8.9648e-09
2.5000e+01	1.2802e-08
2.6000e+01	1.4651e-09
2.7000e+01	1.2604e-08
2.8000e+01	5.3492e-09
2.9000e+01	6.7431e-09
3.0000e+01	6.5461e-09
3.1000e+01	9.5596e-09
3.2000e+01	3.6267e-09
3.3000e+01	4.4794e-09
3.4000e+01	7.6380e-09
3.5000e+01	1.1151e-08
3.6000e+01	1.1781e-08
3.7000e+01	9.9554e-09
3.8000e+01	1.1085e-08
3.9000e+01	9.2037e-09
4.0000e+01	5.8334e-09
4.1000e+01	8.9490e-09
4.2000e+01	4.4554e-09
4.3000e+01	7.2240e-09
4.4000e+01	1.0360e-08
4.5000e+01	4.6020e-09
4.6000e+01	5.8436e-09
4.7000e+01	1.0672e-08
4.8000e+01	7.8670e-09
4.9000e+01	4.7447e-09
5.0000e+01	8.6483e-09
5.1000e+01	5.8383e-09
5.2000e+01	1.1849e-08
5.3000e+01	7.6716e-09
5.4000e+01	8.0914e-09
5.5000e+01	9.0577e-09
5.6000e+01	6.9377e-09
5.7000e+01	1.2734e-08
5.8000e+01	6.0822e-09
5.9000e+01	4.6948e-09
6.0000e+01	1.2433e-08
6.1000e+01	7.9145e-09
6.2000e+01	6.0252e-09
6.3000e+01	6.8358e-09
6.4000e+01	1.4276e-08
6.5000e+01	8.1616e-09
6.6000e+01	4.8910e-09
6.7000e+01	8.6409e-09
6.8000e+01	7.0585e-09
6.9000e+01	6.8140e-09
7.0000e+01	5.4831e-09
7.1000e+01	5.7227e-09
7.2000e+01	7.1823e-09
7.3000e+01	4.3522e-09
7.4000e+01	9.6800e-09
7.5000e+01	5.3237e-09
7.6000e+01	7.3647e-09
7.7000e+01	7.8655e-09
7.8000e+01	6.3795e-09
7.9000e+01	7.2814e-09
8.0000e+01	1.3587e-09
8.1000e+01	6.9709e-09
8.2000e+01	6.7019e-09
8.3000e+01	9.2593e-09
8.4000e+01	2.7633e-09
8.5000e+01	8.1395e-09
8.6000e+01	8.4498e-09
8.7000e+01	7.0754e-09
8.8000e+01	4.3268e-09
8.9000e+01	1.6880e-09
9.0000e+01	6.7568e-09
9.1000e+01	4.7630e-09
9.2000e+01	8.1011e-09
9.3000e+01	4.0048e-09
9.4000e+01	8.8202e-09
9.5000e+01	2.0222e-09
9.6000e+01	4.2631e-09
9.7000e+01	4.8692e-09
9.8000e+01	9.0035e-09
9.9000e+01	3.4064e-09
1.0000e+02	4.9662e-09
1.0100e+02	7.3990e-09
1.0200e+02	5.9408e-09
1.0300e+02	4.1888e-09
1.0400e+02	7.8666e-09
1.0500e+02	5.8377e-09
1.0600e+02	7.1300e-09
1.0700e+02	5.3941e-09
1.0800e+02	2.3498e-09
1.0900e+02	4.2058e-09
1.1000e+02	3.4409e-09
1.1100e+02	4.2373e-09
1.1200e+02	5.0477e-09
1.1300e+02	6.9605e-09
1.1400e+02	7.8689e-09
1.1500e+02	3.5929e-09
1.1600e+02	2.4464e-09
1.1700e+02	3.8361e-09
1.1800e+02	4.1693e-09
1.1900e+02	6.2488e-09
1.2000e+02	4.2807e-09
1.2100e+02	3.6181e-09
1.2200e+02	5.8894e-09
1.2300e+02	3.1725e-09
1.2400e+02	3.8215e-09
1.2500e+02	5.6643e-09
1.2600e+02	6.1715e-09
1.2700e+02	3.3312e-09
1.2800e+02	4.7395e-09
1.2900e+02	5.0941e-09
