# L	D_L^MCN0
1.9900e+02	1.6855e-07
2.0000e+02	1.6888e-07
2.0100e+02	1.6663e-07
2.0200e+02	1.6616e-07
2.0300e+02	1.6754e-07
2.0400e+02	1.6684e-07
2.0500e+02	1.6586e-07
2.0600e+02	1.6749e-07
2.0700e+02	1.6889e-07
2.0800e+02	1.6464e-07
2.0900e+02	1.6721e-07
2.1000e+02	1.6643e-07
2.1100e+02	1.6771e-07
2.1200e+02	1.6536e-07
2.1300e+02	1.6783e-07
2.1400e+02	1.6477e-07
2.1500e+02	1.6620e-07
2.1600e+02	1.6433e-07
2.1700e+02	1.6865e-07
2.1800e+02	1.7028e-07
2.1900e+02	1.6998e-07
2.2000e+02	1.6810e-07
2.2100e+02	1.6647e-07
2.2200e+02	1.7080e-07
2.2300e+02	1.6881e-07
2.2400e+02	1.6852e-07
2.2500e+02	1.6947e-07
2.2600e+02	1.7368e-07
2.2700e+02	1.7052e-07
2.2800e+02	1.7063e-07
2.2900e+02	1.7270e-07
2.3000e+02	1.7341e-07
2.3100e+02	1.7561e-07
2.3200e+02	1.7542e-07
2.3300e+02	1.7483e-07
2.3400e+02	1.7289e-07
2.3500e+02	1.7040e-07
2.3600e+02	1.6975e-07
2.3700e+02	1.7467e-07
2.3800e+02	1.7454e-07
2.3900e+02	1.7229e-07
2.4000e+02	1.7576e-07
2.4100e+02	1.7332e-07
2.4200e+02	1.7765e-07
2.4300e+02	1.8055e-07
2.4400e+02	1.7652e-07
2.4500e+02	1.7885e-07
2.4600e+02	1.7528e-07
2.4700e+02	1.7720e-07
2.4800e+02	1.7774e-07
2.4900e+02	1.7559e-07
2.5000e+02	1.8169e-07
2.5100e+02	1.8135e-07
2.5200e+02	1.8128e-07
2.5300e+02	1.8152e-07
2.5400e+02	1.8080e-07
2.5500e+02	1.8138e-07
2.5600e+02	1.8207e-07
2.5700e+02	1.8175e-07
2.5800e+02	1.8335e-07
2.5900e+02	1.8658e-07
2.6000e+02	1.8492e-07
2.6100e+02	1.8324e-07
2.6200e+02	1.8804e-07
2.6300e+02	1.8463e-07
2.6400e+02	1.8986e-07
2.6500e+02	1.8396e-07
2.6600e+02	1.9257e-07
2.6700e+02	1.9081e-07
2.6800e+02	1.9487e-07
2.6900e+02	1.8912e-07
2.7000e+02	1.9527e-07
2.7100e+02	1.9237e-07
2.7200e+02	1.9577e-07
2.7300e+02	1.9459e-07
2.7400e+02	1.9830e-07
2.7500e+02	1.9556e-07
2.7600e+02	2.0071e-07
2.7700e+02	1.9700e-07
2.7800e+02	1.9968e-07
2.7900e+02	2.0126e-07
2.8000e+02	1.9703e-07
2.8100e+02	2.0449e-07
2.8200e+02	2.0238e-07
2.8300e+02	2.0442e-07
2.8400e+02	2.0636e-07
2.8500e+02	2.0910e-07
2.8600e+02	2.0558e-07
2.8700e+02	2.0488e-07
2.8800e+02	2.0655e-07
2.8900e+02	2.1470e-07
2.9000e+02	2.1174e-07
2.9100e+02	2.1581e-07
2.9200e+02	2.1321e-07
2.9300e+02	2.1796e-07
2.9400e+02	2.1615e-07
2.9500e+02	2.1812e-07
2.9600e+02	2.1965e-07
2.9700e+02	2.2172e-07
2.9800e+02	2.2470e-07
2.9900e+02	2.1907e-07
3.0000e+02	2.2700e-07
3.0100e+02	2.2651e-07
3.0200e+02	2.2764e-07
3.0300e+02	2.2865e-07
3.0400e+02	2.3104e-07
3.0500e+02	2.3272e-07
3.0600e+02	2.3488e-07
3.0700e+02	2.3323e-07
3.0800e+02	2.3466e-07
3.0900e+02	2.3512e-07
3.1000e+02	2.4180e-07
3.1100e+02	2.3756e-07
3.1200e+02	2.4139e-07
3.1300e+02	2.4809e-07
3.1400e+02	2.4631e-07
3.1500e+02	2.4494e-07
3.1600e+02	2.4788e-07
3.1700e+02	2.5061e-07
3.1800e+02	2.5715e-07
3.1900e+02	2.4654e-07
3.2000e+02	2.5336e-07
3.2100e+02	2.6077e-07
3.2200e+02	2.6007e-07
