# L	D_L^phi phi
1.9900e+02	5.7671e-08
2.0000e+02	5.7383e-08
2.0100e+02	5.7098e-08
2.0200e+02	5.6815e-08
2.0300e+02	5.6534e-08
2.0400e+02	5.6255e-08
2.0500e+02	5.5979e-08
2.0600e+02	5.5704e-08
2.0700e+02	5.5432e-08
2.0800e+02	5.5162e-08
2.0900e+02	5.4894e-08
2.1000e+02	5.4628e-08
2.1100e+02	5.4365e-08
2.1200e+02	5.4103e-08
2.1300e+02	5.3843e-08
2.1400e+02	5.3586e-08
2.1500e+02	5.3330e-08
2.1600e+02	5.3077e-08
2.1700e+02	5.2825e-08
2.1800e+02	5.2575e-08
2.1900e+02	5.2328e-08
2.2000e+02	5.2082e-08
2.2100e+02	5.1838e-08
2.2200e+02	5.1596e-08
2.2300e+02	5.1355e-08
2.2400e+02	5.1117e-08
2.2500e+02	5.0881e-08
2.2600e+02	5.0646e-08
2.2700e+02	5.0413e-08
2.2800e+02	5.0182e-08
2.2900e+02	4.9952e-08
2.3000e+02	4.9725e-08
2.3100e+02	4.9498e-08
2.3200e+02	4.9274e-08
2.3300e+02	4.9052e-08
2.3400e+02	4.8831e-08
2.3500e+02	4.8611e-08
2.3600e+02	4.8393e-08
2.3700e+02	4.8177e-08
2.3800e+02	4.7963e-08
2.3900e+02	4.7750e-08
2.4000e+02	4.7538e-08
2.4100e+02	4.7328e-08
2.4200e+02	4.7120e-08
2.4300e+02	4.6913e-08
2.4400e+02	4.6707e-08
2.4500e+02	4.6503e-08
2.4600e+02	4.6301e-08
2.4700e+02	4.6100e-08
2.4800e+02	4.5900e-08
2.4900e+02	4.5701e-08
2.5000e+02	4.5504e-08
2.5100e+02	4.5309e-08
2.5200e+02	4.5114e-08
2.5300e+02	4.4921e-08
2.5400e+02	4.4729e-08
2.5500e+02	4.4539e-08
2.5600e+02	4.4350e-08
2.5700e+02	4.4162e-08
2.5800e+02	4.3975e-08
2.5900e+02	4.3790e-08
2.6000e+02	4.3606e-08
2.6100e+02	4.3423e-08
2.6200e+02	4.3241e-08
2.6300e+02	4.3061e-08
2.6400e+02	4.2881e-08
2.6500e+02	4.2704e-08
2.6600e+02	4.2527e-08
2.6700e+02	4.2351e-08
2.6800e+02	4.2176e-08
2.6900e+02	4.2003e-08
2.7000e+02	4.1831e-08
2.7100e+02	4.1660e-08
2.7200e+02	4.1490e-08
2.7300e+02	4.1321e-08
2.7400e+02	4.1153e-08
2.7500e+02	4.0987e-08
2.7600e+02	4.0821e-08
2.7700e+02	4.0656e-08
2.7800e+02	4.0493e-08
2.7900e+02	4.0331e-08
2.8000e+02	4.0169e-08
2.8100e+02	4.0009e-08
2.8200e+02	3.9850e-08
2.8300e+02	3.9691e-08
2.8400e+02	3.9534e-08
2.8500e+02	3.9378e-08
2.8600e+02	3.9222e-08
2.8700e+02	3.9068e-08
2.8800e+02	3.8915e-08
2.8900e+02	3.8762e-08
2.9000e+02	3.8611e-08
2.9100e+02	3.8460e-08
2.9200e+02	3.8311e-08
2.9300e+02	3.8162e-08
2.9400e+02	3.8014e-08
2.9500e+02	3.7867e-08
2.9600e+02	3.7721e-08
2.9700e+02	3.7576e-08
2.9800e+02	3.7431e-08
2.9900e+02	3.7288e-08
3.0000e+02	3.7145e-08
3.0100e+02	3.7003e-08
3.0200e+02	3.6862e-08
3.0300e+02	3.6722e-08
3.0400e+02	3.6583e-08
3.0500e+02	3.6444e-08
3.0600e+02	3.6307e-08
3.0700e+02	3.6169e-08
3.0800e+02	3.6033e-08
3.0900e+02	3.5898e-08
3.1000e+02	3.5763e-08
3.1100e+02	3.5629e-08
3.1200e+02	3.5496e-08
3.1300e+02	3.5364e-08
3.1400e+02	3.5232e-08
3.1500e+02	3.5101e-08
3.1600e+02	3.4971e-08
3.1700e+02	3.4842e-08
