# L	D_L^phi phi
8.7100e+02	8.3172e-09
8.7200e+02	8.3022e-09
8.7300e+02	8.2873e-09
8.7400e+02	8.2723e-09
8.7500e+02	8.2574e-09
8.7600e+02	8.2426e-09
8.7700e+02	8.2278e-09
8.7800e+02	8.2130e-09
8.7900e+02	8.1983e-09
8.8000e+02	8.1836e-09
8.8100e+02	8.1689e-09
8.8200e+02	8.1543e-09
8.8300e+02	8.1397e-09
8.8400e+02	8.1252e-09
8.8500e+02	8.1107e-09
8.8600e+02	8.0962e-09
8.8700e+02	8.0818e-09
8.8800e+02	8.0674e-09
8.8900e+02	8.0531e-09
8.9000e+02	8.0388e-09
8.9100e+02	8.0245e-09
8.9200e+02	8.0103e-09
8.9300e+02	7.9961e-09
8.9400e+02	7.9819e-09
8.9500e+02	7.9678e-09
8.9600e+02	7.9537e-09
8.9700e+02	7.9396e-09
8.9800e+02	7.9256e-09
8.9900e+02	7.9117e-09
9.0000e+02	7.8977e-09
9.0100e+02	7.8838e-09
9.0200e+02	7.8699e-09
9.0300e+02	7.8561e-09
9.0400e+02	7.8423e-09
9.0500e+02	7.8285e-09
9.0600e+02	7.8148e-09
9.0700e+02	7.8011e-09
9.0800e+02	7.7875e-09
9.0900e+02	7.7738e-09
9.1000e+02	7.7602e-09
9.1100e+02	7.7467e-09
9.1200e+02	7.7332e-09
9.1300e+02	7.7197e-09
9.1400e+02	7.7062e-09
9.1500e+02	7.6928e-09
9.1600e+02	7.6795e-09
9.1700e+02	7.6661e-09
9.1800e+02	7.6528e-09
9.1900e+02	7.6395e-09
9.2000e+02	7.6263e-09
9.2100e+02	7.6131e-09
9.2200e+02	7.5999e-09
9.2300e+02	7.5868e-09
9.2400e+02	7.5736e-09
9.2500e+02	7.5606e-09
9.2600e+02	7.5475e-09
9.2700e+02	7.5345e-09
9.2800e+02	7.5215e-09
9.2900e+02	7.5086e-09
9.3000e+02	7.4957e-09
9.3100e+02	7.4828e-09
9.3200e+02	7.4699e-09
9.3300e+02	7.4571e-09
9.3400e+02	7.4444e-09
9.3500e+02	7.4316e-09
9.3600e+02	7.4189e-09
9.3700e+02	7.4062e-09
9.3800e+02	7.3935e-09
9.3900e+02	7.3809e-09
9.4000e+02	7.3683e-09
9.4100e+02	7.3558e-09
9.4200e+02	7.3432e-09
9.4300e+02	7.3307e-09
9.4400e+02	7.3183e-09
9.4500e+02	7.3058e-09
9.4600e+02	7.2934e-09
9.4700e+02	7.2811e-09
9.4800e+02	7.2687e-09
9.4900e+02	7.2564e-09
9.5000e+02	7.2441e-09
9.5100e+02	7.2319e-09
9.5200e+02	7.2197e-09
9.5300e+02	7.2075e-09
9.5400e+02	7.1953e-09
9.5500e+02	7.1832e-09
9.5600e+02	7.1711e-09
9.5700e+02	7.1590e-09
9.5800e+02	7.1470e-09
9.5900e+02	7.1349e-09
9.6000e+02	7.1230e-09
9.6100e+02	7.1110e-09
9.6200e+02	7.0991e-09
9.6300e+02	7.0872e-09
9.6400e+02	7.0753e-09
9.6500e+02	7.0635e-09
9.6600e+02	7.0517e-09
9.6700e+02	7.0399e-09
9.6800e+02	7.0282e-09
9.6900e+02	7.0165e-09
9.7000e+02	7.0048e-09
9.7100e+02	6.9931e-09
9.7200e+02	6.9815e-09
9.7300e+02	6.9699e-09
9.7400e+02	6.9583e-09
9.7500e+02	6.9467e-09
9.7600e+02	6.9352e-09
9.7700e+02	6.9237e-09
9.7800e+02	6.9123e-09
9.7900e+02	6.9009e-09
9.8000e+02	6.8894e-09
9.8100e+02	6.8781e-09
9.8200e+02	6.8667e-09
9.8300e+02	6.8554e-09
9.8400e+02	6.8441e-09
9.8500e+02	6.8328e-09
9.8600e+02	6.8216e-09
9.8700e+02	6.8104e-09
9.8800e+02	6.7992e-09
9.8900e+02	6.7880e-09
9.9000e+02	6.7769e-09
9.9100e+02	6.7658e-09
9.9200e+02	6.7547e-09
9.9300e+02	6.7437e-09
9.9400e+02	6.7326e-09
9.9500e+02	6.7216e-09
9.9600e+02	6.7107e-09
9.9700e+02	6.6997e-09
9.9800e+02	6.6888e-09
9.9900e+02	6.6779e-09
1.0000e+03	6.6671e-09
1.0010e+03	6.6562e-09
1.0020e+03	6.6454e-09
1.0030e+03	6.6346e-09
1.0040e+03	6.6239e-09
1.0050e+03	6.6131e-09
1.0060e+03	6.6024e-09
1.0070e+03	6.5917e-09
1.0080e+03	6.5811e-09
1.0090e+03	6.5704e-09
1.0100e+03	6.5598e-09
1.0110e+03	6.5493e-09
1.0120e+03	6.5387e-09
1.0130e+03	6.5282e-09
1.0140e+03	6.5177e-09
1.0150e+03	6.5072e-09
1.0160e+03	6.4967e-09
1.0170e+03	6.4863e-09
1.0180e+03	6.4759e-09
1.0190e+03	6.4655e-09
1.0200e+03	6.4552e-09
1.0210e+03	6.4448e-09
1.0220e+03	6.4345e-09
1.0230e+03	6.4243e-09
1.0240e+03	6.4140e-09
