# pp n0_nofg n0_fg
6.516090427560726577e-16 1.294999785599833837e-15 1.553387861295741877e-15
6.321699944492557496e-16 1.272616748372050777e-15 1.542386504676976291e-15
6.134134820586275967e-16 1.226989831777609181e-15 1.476087456327820295e-15
5.953113762768471580e-16 1.189154627647489538e-15 1.424323748249945169e-15
5.778376947619039890e-16 1.152162154011068761e-15 1.394545640465300283e-15
5.609676171459805813e-16 1.144790723587131263e-15 1.356670731656155372e-15
5.446774270750823191e-16 1.098888066499449797e-15 1.322334330412136970e-15
5.289436779935283437e-16 1.076481602687290369e-15 1.294174886694651302e-15
5.137447549741705972e-16 1.060521924471867063e-15 1.259207175641113293e-15
4.990599884493084786e-16 1.036671601858869124e-15 1.236661743951063827e-15
4.848688817791565872e-16 1.011424761380627187e-15 1.222568485285731475e-15
4.711539896241176843e-16 9.803336331562644641e-16 1.177548077079352076e-15
4.578950813284120874e-16 9.804615729317045975e-16 1.176233117942096994e-15
4.450756040302309337e-16 9.374922077871926732e-16 1.113389102310817840e-15
4.326783518461633503e-16 9.185114989216458150e-16 1.084081981343291376e-15
4.206888215097407397e-16 8.907663703521792002e-16 1.066485268580028050e-15
4.090898942351828617e-16 8.832719896969036558e-16 1.049150491539147902e-15
3.978677344530065186e-16 8.563925129908579890e-16 1.022833394746915354e-15
3.870084485309551038e-16 8.348845738988332379e-16 1.001208311397679555e-15
3.764975351581567057e-16 8.137960847784492483e-16 9.790783334597497039e-16
3.663240411083452497e-16 8.112435871134500600e-16 9.634014353814820637e-16
3.564734172882394883e-16 7.756011674358207496e-16 9.329323613134403167e-16
3.469356921704578037e-16 7.682804554502085878e-16 9.267156467066918854e-16
3.376979693614264803e-16 7.377664076443472589e-16 8.940087515314700421e-16
3.287506009839638163e-16 7.271888245002558314e-16 8.738916318837035898e-16
3.200822013472974775e-16 7.073927706155532300e-16 8.512246204351098515e-16
3.116834121081662261e-16 6.989934606398823665e-16 8.266812916419466441e-16
3.035437314601679937e-16 6.815338226050450681e-16 8.158784241290052090e-16
2.956550666082871208e-16 6.666598274247592370e-16 7.866646423790579593e-16
2.880081690305600123e-16 6.544482015659245368e-16 7.938380863909018452e-16
2.805937068259029371e-16 6.385237158077212794e-16 7.691152538349741529e-16
2.734045831587382778e-16 6.190729709647092198e-16 7.448342487861859768e-16
2.664325920290184350e-16 6.251987229470318120e-16 7.494847662026302164e-16
2.596698639778447349e-16 6.021413086278246936e-16 7.269878629814291849e-16
2.531097111078754545e-16 5.910018574003731784e-16 7.095769508314479969e-16
2.467444185107290558e-16 5.717839421439930633e-16 6.951483674331350288e-16
2.405678397404890460e-16 5.624483606630532674e-16 6.790212231835235337e-16
2.345736387472460561e-16 5.505902852352627638e-16 6.733007503135449727e-16
2.287553217408360571e-16 5.358248680217495547e-16 6.626687953177413378e-16
2.231074328333513285e-16 5.295148626126528989e-16 6.381898166506337157e-16
2.176231790846861397e-16 5.242573703588777177e-16 6.260763721190431648e-16
2.122983094463771475e-16 5.077503752988165160e-16 6.206720370729794491e-16
2.071268517184916235e-16 5.006394275095268665e-16 6.061280997257225268e-16
2.021038023931039003e-16 4.871381545140408765e-16 5.940589680408471997e-16
1.972239889013022394e-16 4.800102854041698595e-16 5.878464709699345796e-16
1.924834781940854935e-16 4.689412417782518866e-16 5.670087386965154751e-16
1.878770962617302021e-16 4.670725183629411122e-16 5.637075788177993263e-16
1.834008809580627652e-16 4.508940317472785679e-16 5.481025590764022484e-16
1.790503469725586818e-16 4.426610119706342423e-16 5.502167713611197207e-16
1.748215027343611328e-16 4.345646717474401089e-16 5.341844782715797407e-16
1.707101849498078456e-16 4.320451549899591558e-16 5.224865234934746321e-16
1.667133148634193799e-16 4.137610839029176241e-16 5.119706093517251554e-16
1.628266886469052768e-16 4.113780803913318973e-16 4.998720614151875711e-16
1.590468677743028253e-16 4.068135893468157673e-16 4.971676484968571783e-16
1.553705340803303527e-16 3.988685478136818872e-16 4.842971492365959528e-16
1.517944850695160780e-16 3.883928950742562241e-16 4.706065050351788648e-16
1.483153486593062753e-16 3.799881735792496482e-16 4.711640088712468524e-16
1.449307070596473815e-16 3.779080101605315917e-16 4.665241635204149269e-16
1.416368512749252633e-16 3.757815951669191447e-16 4.581487734990310852e-16
1.384315593358745979e-16 3.672267512762111329e-16 4.487041666252493129e-16
1.353118817925318451e-16 3.573757374691783953e-16 4.394026859534160679e-16
1.322749793098812268e-16 3.557952560909369460e-16 4.385658622438815658e-16
1.293186217909412506e-16 3.421196697090124696e-16 4.202390811010075635e-16
1.264401500951237689e-16 3.403002018842954842e-16 4.181797388359454301e-16
1.236374894600954680e-16 3.331962743782759924e-16 4.092989219981677735e-16
1.209081479632068860e-16 3.304866301996314948e-16 4.109538359142864382e-16
1.182497254025433189e-16 3.251872951356439016e-16 3.999858578147465513e-16
1.156603705765997569e-16 3.158633214560741467e-16 3.878877551736367535e-16
1.131378318798726669e-16 3.136973057545171470e-16 3.903960708443315440e-16
1.106803850489035687e-16 3.125366622519779955e-16 3.842933504499506478e-16
1.082859166153442400e-16 3.070783396509904380e-16 3.790156373467137162e-16
1.059526048838552450e-16 2.990695100774579917e-16 3.674282329829864095e-16
1.036786872287487653e-16 2.964062959666849394e-16 3.687362777356673953e-16
1.014620423942685198e-16 2.921873648926572828e-16 3.620318304182600214e-16
9.930165345769822088e-17 2.829440181304247350e-16 3.476517525578603529e-16
9.719530927576488564e-17 2.780238031267788666e-16 3.422307866009112132e-16
9.514187793983130674e-17 2.745558995188879009e-16 3.472926359087910715e-16
9.313947283694835705e-17 2.722960980774909699e-16 3.409423325433847351e-16
9.118685354768127076e-17 2.630699675473086383e-16 3.293321469969006808e-16
8.928243643269404576e-17 2.591095153200800385e-16 3.288158169857430552e-16
8.742506350224954195e-17 2.591135030846783059e-16 3.247143752092730205e-16
8.561324319996666727e-17 2.570166514312563679e-16 3.200384705849763522e-16
8.384553667898156112e-17 2.556523743838305970e-16 3.207860826718929860e-16
8.212090742238653987e-17 2.470903071135890892e-16 3.126095195987325916e-16
8.043817191695914457e-17 2.455410146266376131e-16 3.083748816280545663e-16
7.879601289430400963e-17 2.365499495409885887e-16 2.973022693682965113e-16
7.719332665064439198e-17 2.374176085905761483e-16 2.948450699200024034e-16
7.562904313430772841e-17 2.347411304659108529e-16 2.936897822022264410e-16
7.410212480380306798e-17 2.297762999324541144e-16 2.850148314604225708e-16
7.261140595825260458e-17 2.291791467850847607e-16 2.867583385901057366e-16
7.115607543618362602e-17 2.285188160538075613e-16 2.840080705085667991e-16
6.973503207078287167e-17 2.226951145347855926e-16 2.790977032083241812e-16
6.834751705128982276e-17 2.174811943601370892e-16 2.724591589972603131e-16
6.699233986893745622e-17 2.141635378752700736e-16 2.684733434202855184e-16
6.566879749477103275e-17 2.114801052720288646e-16 2.659230585737278786e-16
6.437620284426203354e-17 2.084639306819812193e-16 2.630833299855261470e-16
6.311345565309023789e-17 2.065437150803437539e-16 2.621206337920182242e-16
6.187977865938075930e-17 2.036338220799073052e-16 2.619324698266862211e-16
6.067469441096588262e-17 2.061040622923447366e-16 2.567606014126781517e-16
5.949718471452330005e-17 2.004183900235859103e-16 2.513127295984994178e-16
5.834653844069679331e-17 1.962409632147884282e-16 2.475816319360166889e-16
5.722206501112618678e-17 1.963919249529421009e-16 2.468554126800473643e-16
5.612322407236533339e-17 1.901071858450115667e-16 2.412592354595453878e-16
5.504910155918170339e-17 1.928524862152230561e-16 2.411815491348490699e-16
5.399932345682516404e-17 1.879021176707386579e-16 2.396501286096078403e-16
5.297302022023280650e-17 1.860110660627447535e-16 2.358028634143071767e-16
5.196972294145740084e-17 1.847101343686580003e-16 2.353874443352252698e-16
5.098885125745241926e-17 1.812568082297172607e-16 2.331157042480846200e-16
5.002972208207635465e-17 1.770045908744109512e-16 2.265033798587725645e-16
4.909190992438502719e-17 1.822427621696553991e-16 2.302243010155353400e-16
4.817476632091939069e-17 1.747678769669836622e-16 2.234891222131616641e-16
4.727789236086511850e-17 1.766949587004082959e-16 2.212347656949600825e-16
4.640055987558979791e-17 1.723028072133438196e-16 2.162664294579803908e-16
4.554251037004009434e-17 1.739321841194314746e-16 2.195651320980600353e-16
4.470304950045499383e-17 1.697560096265184389e-16 2.152789038549670348e-16
4.388183111962934696e-17 1.673405874841840205e-16 2.121297027932691852e-16
4.307840936443593081e-17 1.644908107603108346e-16 2.112317024085887428e-16
4.229235056531026147e-17 1.655670263175788683e-16 2.088764176185599596e-16
4.152312991857174798e-17 1.617749127104033209e-16 2.037449235111464364e-16
4.077034142293545093e-17 1.595053058804096034e-16 2.018146190951539863e-16
4.003369010232935577e-17 1.597893698684841610e-16 2.028021048775664728e-16
3.931268867203322910e-17 1.573591192640543241e-16 2.017975539504713158e-16
3.860696311751849098e-17 1.531993013715189512e-16 1.992176476912123798e-16
3.791624533741273243e-17 1.519628642550410383e-16 1.946624495217261262e-16
3.723998787832674909e-17 1.512253556451935495e-16 1.954983590109954403e-16
3.657794312635314455e-17 1.501264806300775807e-16 1.929127554418197528e-16
3.592968337404595226e-17 1.481675835073505673e-16 1.916545761693148704e-16
3.529497625648276051e-17 1.471071883376669669e-16 1.878164223863054381e-16
3.467350345084519287e-17 1.456462771321364744e-16 1.881043960641233298e-16
3.406486676892208772e-17 1.438631623279473729e-16 1.865803597845145834e-16
3.346876797885862831e-17 1.456945885836211926e-16 1.850498033841427848e-16
3.288500244430217671e-17 1.437669947834026741e-16 1.860830397344238659e-16
3.231311438455369257e-17 1.429277125139137363e-16 1.809125058340229039e-16
3.175299872554416629e-17 1.400708940679093553e-16 1.831217885548843556e-16
3.120421876261929585e-17 1.390905256831180325e-16 1.766930633698313225e-16
3.066667884961039816e-17 1.391765625602205353e-16 1.802017136667300729e-16
3.013996038718745469e-17 1.364292379918395833e-16 1.759162378990321681e-16
2.962381823722282628e-17 1.365872600162319886e-16 1.755347631574705452e-16
2.911809157187922096e-17 1.355451727253098272e-16 1.757806799782596290e-16
2.862246735960078838e-17 1.330452949815563793e-16 1.726916578345215196e-16
2.813679469146598952e-17 1.300154712573911755e-16 1.715922109697874506e-16
2.766077428904052498e-17 1.311113928667887125e-16 1.690457356431414435e-16
2.719419051102707879e-17 1.289648936408549166e-16 1.686763584758780352e-16
2.673683310857535622e-17 1.311291717429385699e-16 1.685465747011235518e-16
2.628849707528062015e-17 1.269535499720452828e-16 1.654672250925099022e-16
2.584905369855455439e-17 1.277549858008969455e-16 1.661335241027377548e-16
2.541816470998874141e-17 1.244656996267646762e-16 1.645759561714996550e-16
2.499571210906624526e-17 1.243349574761399017e-16 1.633018385243517864e-16
2.458144197252741547e-17 1.246918695168560193e-16 1.636984451603440761e-16
2.417531124207132450e-17 1.241316335990405787e-16 1.655207110561725326e-16
2.377700736058492739e-17 1.225287831278241105e-16 1.596582051561473423e-16
2.338642662151775855e-17 1.201363349080800389e-16 1.596077232033910161e-16
2.300340103913668982e-17 1.201792068025151284e-16 1.589844136401141321e-16
2.262763826237917191e-17 1.195791258134581033e-16 1.587346634541466081e-16
2.225917346591927295e-17 1.191865876326559524e-16 1.584742066688236306e-16
2.189772288435139792e-17 1.186921354332144756e-16 1.571861499508116622e-16
2.154313653477685181e-17 1.168829169141562997e-16 1.563344197978476987e-16
2.119526802300542445e-17 1.163395323391733678e-16 1.555457373417127781e-16
2.085403474543735305e-17 1.149840348249337052e-16 1.537889512397486261e-16
2.051923540611687306e-17 1.144887652157949843e-16 1.511000279070075578e-16
2.019073384982476549e-17 1.149867236205271134e-16 1.512119372726083710e-16
1.986839714362296045e-17 1.122323161792417194e-16 1.490221856870888059e-16
1.955209549206192770e-17 1.129914968996341930e-16 1.491777557038276656e-16
1.924170215485103261e-17 1.131895739259189392e-16 1.504259379566270100e-16
1.893703739399574931e-17 1.115731170235080574e-16 1.473105067863812926e-16
1.863809297042258922e-17 1.108972398551305674e-16 1.481817664232352613e-16
1.834463955481723421e-17 1.112450332690784088e-16 1.459344540457576091e-16
1.805661779316289275e-17 1.100203678911604826e-16 1.457899503182552654e-16
1.777391503706786928e-17 1.087698690179310616e-16 1.446213926903753506e-16
1.749636858572075940e-17 1.091186461536047308e-16 1.447840170555376708e-16
1.722392486938032639e-17 1.084036469244986976e-16 1.447166547251763159e-16
1.695647883993121694e-17 1.084016466769040555e-16 1.439587239948806766e-16
1.669382627880456994e-17 1.066126817149679850e-16 1.425895670161104229e-16
1.643597090822344593e-17 1.058794798592770153e-16 1.429292947189975062e-16
1.618281468594255471e-17 1.063408901281463676e-16 1.408456333842016319e-16
1.593416379528466802e-17 1.053569401424223864e-16 1.401529154557547119e-16
1.569002493218841710e-17 1.061006151626222839e-16 1.408926045700809702e-16
1.545025868540893175e-17 1.061515830512675700e-16 1.414914698906482879e-16
1.521477725685297263e-17 1.047298453321926119e-16 1.381895984020660262e-16
1.498349481900512650e-17 1.049403615301867233e-16 1.391772630010979566e-16
1.475632746575912289e-17 1.028998246375770734e-16 1.374906194615437641e-16
1.453319316460332607e-17 1.049269008673780944e-16 1.379084456377942544e-16
1.431401171011950470e-17 1.028304272667372037e-16 1.406120139188244314e-16
1.409866006951859359e-17 1.018245553297182221e-16 1.350186434887709749e-16
1.388710719480555697e-17 1.005102996737498099e-16 1.360151352858326337e-16
1.367927807321823204e-17 1.011183778641450353e-16 1.350827761235777046e-16
1.347509934595262091e-17 1.031178568338280833e-16 1.379626177296739924e-16
1.327441407531268941e-17 1.003868725903165237e-16 1.371576819879245930e-16
1.307728133473040124e-17 9.970144596255142084e-17 1.344764679555380471e-16
1.288354774714492156e-17 1.002196286652562078e-16 1.357333829041688627e-16
1.269314757037162646e-17 9.840631374470544045e-17 1.303853903145835802e-16
1.250605718009831538e-17 9.883512579659144367e-17 1.325018843050531722e-16
1.232217203242816321e-17 9.980463649899682584e-17 1.348055753540318487e-16
1.214143057016065923e-17 9.891886917741121800e-17 1.323012931758293788e-16
1.196381189712582317e-17 9.910941491708814671e-17 1.339852779441145357e-16
1.178917795112320943e-17 9.803066965107204535e-17 1.317989643815980139e-16
1.161754929786452315e-17 9.663843603779365699e-17 1.317218375418456080e-16
1.144883016124362151e-17 9.628201556105207842e-17 1.312198811298061075e-16
1.128296530437818169e-17 9.778722597213644325e-17 1.320253418664419914e-16
1.111993786374663365e-17 9.732424913634092657e-17 1.344167500186388519e-16
1.095962010561647675e-17 9.669304439822824945e-17 1.312706810297320263e-16
1.080199784355593197e-17 9.389399583602994698e-17 1.274559829831818038e-16
1.064705635357357376e-17 9.559548936895055994e-17 1.330886441447996216e-16
1.049467361838681655e-17 9.450098248305401333e-17 1.293464827224953969e-16
1.034483741889528442e-17 9.349907455737247288e-17 1.304282410419768640e-16
1.019753498971522721e-17 9.552912690223164425e-17 1.297029265107205585e-16
1.005264970711714981e-17 9.547349877980029297e-17 1.300722507576004189e-16
9.910171150941278994e-18 9.462804862673079798e-17 1.291006732928395939e-16
9.770020933896986148e-18 9.423453315265967178e-17 1.289051347239250080e-16
9.632223078506802311e-18 9.324342001602455119e-17 1.278694563036723895e-16
9.496667672705850469e-18 9.329347420971113213e-17 1.272486553666685071e-16
9.363346442688288919e-18 9.324632951656242739e-17 1.276070329686159268e-16
9.232218270937668833e-18 9.383492173391252495e-17 1.291670902601361949e-16
9.103242883781250513e-18 9.067297376942525278e-17 1.238831278765126430e-16
8.976349228192692142e-18 9.234205675337915681e-17 1.269964710864449135e-16
8.851499664282018874e-18 9.145162617833051017e-17 1.246969596604207372e-16
8.728719192325473894e-18 9.124872683662979191e-17 1.257807091127810970e-16
8.607877881976192103e-18 9.386040458493199628e-17 1.287479485353233338e-16
8.489032192960722094e-18 9.137993286978811935e-17 1.256114427715693312e-16
8.372055612441247162e-18 9.232296916043038565e-17 1.289202619640860715e-16
8.257004101954741910e-18 9.120035480084720120e-17 1.270457635879726905e-16
8.143754450466347955e-18 9.073144985795982042e-17 1.290637466409591311e-16
8.032333059961584800e-18 8.799603824551896288e-17 1.217004952346551270e-16
7.922707054974509967e-18 9.132612685276258220e-17 1.244401131490164373e-16
7.814815767998781979e-18 8.862514542893680284e-17 1.232240575937194047e-16
7.708628504973245599e-18 9.043951315595416013e-17 1.234306851907266392e-16
