 #L        TxT           TxE           TxP           TxW1          ExT           ExE           ExP           ExW1          PxT           PxE           PxP           PxW1          W1xT          W1xE          W1xP         W1xW1       
261   5.246189e+03  8.079044e+01  1.076632e-04  7.716442e-03  8.079044e+01  3.371686e+00  9.293854e-07  6.687849e-08  1.076632e-04  9.293854e-07  4.343838e-08  6.918730e-06  7.716442e-03  6.687849e-08  6.918730e-06  3.134490e-03
262   5.222811e+03  8.226771e+01  1.067562e-04  7.671897e-03  8.226771e+01  3.478582e+00  9.509150e-07  6.480998e-08  1.067562e-04  9.509150e-07  4.325674e-08  6.907726e-06  7.671897e-03  6.480998e-08  6.907726e-06  3.141611e-03
263   5.198994e+03  8.372716e+01  1.058553e-04  7.627773e-03  8.372716e+01  3.587751e+00  9.723236e-07  6.274522e-08  1.058553e-04  9.723236e-07  4.307631e-08  6.896773e-06  7.627773e-03  6.274522e-08  6.896773e-06  3.148722e-03
264   5.174745e+03  8.516730e+01  1.049604e-04  7.584061e-03  8.516730e+01  3.699186e+00  9.936097e-07  6.068582e-08  1.049604e-04  9.936097e-07  4.289708e-08  6.885871e-06  7.584061e-03  6.068582e-08  6.885871e-06  3.155823e-03
265   5.150066e+03  8.658888e+01  1.040716e-04  7.540756e-03  8.658888e+01  3.812871e+00  1.014771e-06  5.863336e-08  1.040716e-04  1.014771e-06  4.271906e-08  6.875021e-06  7.540756e-03  5.863336e-08  6.875021e-06  3.162913e-03
266   5.124962e+03  8.798966e+01  1.031888e-04  7.497851e-03  8.798966e+01  3.928800e+00  1.035807e-06  5.658942e-08  1.031888e-04  1.035807e-06  4.254222e-08  6.864222e-06  7.497851e-03  5.658942e-08  6.864222e-06  3.169992e-03
267   5.099449e+03  8.936892e+01  1.023118e-04  7.455340e-03  8.936892e+01  4.046957e+00  1.056715e-06  5.455561e-08  1.023118e-04  1.056715e-06  4.236655e-08  6.853473e-06  7.455340e-03  5.455561e-08  6.853473e-06  3.177061e-03
268   5.073527e+03  9.072738e+01  1.014406e-04  7.413215e-03  9.072738e+01  4.167335e+00  1.077494e-06  5.253350e-08  1.014406e-04  1.077494e-06  4.219205e-08  6.842776e-06  7.413215e-03  5.253350e-08  6.842776e-06  3.184117e-03
269   5.047196e+03  9.206283e+01  1.005751e-04  7.371470e-03  9.206283e+01  4.289927e+00  1.098142e-06  5.052469e-08  1.005751e-04  1.098142e-06  4.201870e-08  6.832128e-06  7.371470e-03  5.052469e-08  6.832128e-06  3.191163e-03
270   5.020464e+03  9.337600e+01  9.971519e-05  7.330099e-03  9.337600e+01  4.414710e+00  1.118657e-06  4.853077e-08  9.971519e-05  1.118657e-06  4.184650e-08  6.821531e-06  7.330099e-03  4.853077e-08  6.821531e-06  3.198196e-03
271   4.993352e+03  9.466467e+01  9.886087e-05  7.289095e-03  9.466467e+01  4.541677e+00  1.139038e-06  4.655332e-08  9.886087e-05  1.139038e-06  4.167543e-08  6.810984e-06  7.289095e-03  4.655332e-08  6.810984e-06  3.205217e-03
272   4.965854e+03  9.592958e+01  9.801202e-05  7.248452e-03  9.592958e+01  4.670813e+00  1.159283e-06  4.459394e-08  9.801202e-05  1.159283e-06  4.150548e-08  6.800487e-06  7.248452e-03  4.459394e-08  6.800487e-06  3.212225e-03
273   4.937999e+03  9.716924e+01  9.716858e-05  7.208162e-03  9.716924e+01  4.802081e+00  1.179391e-06  4.265421e-08  9.716858e-05  1.179391e-06  4.133665e-08  6.790039e-06  7.208162e-03  4.265421e-08  6.790039e-06  3.219221e-03
274   4.909780e+03  9.838441e+01  9.633045e-05  7.168220e-03  9.838441e+01  4.935481e+00  1.199359e-06  4.073572e-08  9.633045e-05  1.199359e-06  4.116892e-08  6.779641e-06  7.168220e-03  4.073572e-08  6.779641e-06  3.226203e-03
275   4.881211e+03  9.957285e+01  9.549758e-05  7.128618e-03  9.957285e+01  5.070984e+00  1.219186e-06  3.884006e-08  9.549758e-05  1.219186e-06  4.100228e-08  6.769292e-06  7.128618e-03  3.884006e-08  6.769292e-06  3.233173e-03
276   4.852315e+03  1.007353e+02  9.466986e-05  7.089350e-03  1.007353e+02  5.208573e+00  1.238870e-06  3.696883e-08  9.466986e-05  1.238870e-06  4.083673e-08  6.758992e-06  7.089350e-03  3.696883e-08  6.758992e-06  3.240128e-03
277   4.823092e+03  1.018703e+02  9.384725e-05  7.050410e-03  1.018703e+02  5.348228e+00  1.258410e-06  3.512360e-08  9.384725e-05  1.258410e-06  4.067224e-08  6.748741e-06  7.050410e-03  3.512360e-08  6.748741e-06  3.247070e-03
278   4.793549e+03  1.029770e+02  9.302964e-05  7.011791e-03  1.029770e+02  5.489926e+00  1.277804e-06  3.330598e-08  9.302964e-05  1.277804e-06  4.050882e-08  6.738538e-06  7.011791e-03  3.330598e-08  6.738538e-06  3.253997e-03
279   4.763702e+03  1.040564e+02  9.221697e-05  6.973486e-03  1.040564e+02  5.633629e+00  1.297051e-06  3.151754e-08  9.221697e-05  1.297051e-06  4.034645e-08  6.728384e-06  6.973486e-03  3.151754e-08  6.728384e-06  3.260910e-03
280   4.733565e+03  1.051067e+02  9.140916e-05  6.935489e-03  1.051067e+02  5.779309e+00  1.316148e-06  2.975988e-08  9.140916e-05  1.316148e-06  4.018512e-08  6.718277e-06  6.935489e-03  2.975988e-08  6.718277e-06  3.267809e-03
281   4.703138e+03  1.061281e+02  9.060614e-05  6.897793e-03  1.061281e+02  5.926949e+00  1.335094e-06  2.803459e-08  9.060614e-05  1.335094e-06  4.002482e-08  6.708219e-06  6.897793e-03  2.803459e-08  6.708219e-06  3.274692e-03
282   4.672436e+03  1.071198e+02  8.980782e-05  6.860392e-03  1.071198e+02  6.076506e+00  1.353888e-06  2.634325e-08  8.980782e-05  1.353888e-06  3.986555e-08  6.698208e-06  6.860392e-03  2.634325e-08  6.698208e-06  3.281560e-03
283   4.641475e+03  1.080810e+02  8.901413e-05  6.823279e-03  1.080810e+02  6.227958e+00  1.372527e-06  2.468746e-08  8.901413e-05  1.372527e-06  3.970728e-08  6.688245e-06  6.823279e-03  2.468746e-08  6.688245e-06  3.288412e-03
284   4.610253e+03  1.090111e+02  8.822499e-05  6.786447e-03  1.090111e+02  6.381274e+00  1.391010e-06  2.306881e-08  8.822499e-05  1.391010e-06  3.955001e-08  6.678329e-06  6.786447e-03  2.306881e-08  6.678329e-06  3.295248e-03
285   4.578786e+03  1.099100e+02  8.744032e-05  6.749891e-03  1.099100e+02  6.536418e+00  1.409336e-06  2.148887e-08  8.744032e-05  1.409336e-06  3.939373e-08  6.668460e-06  6.749891e-03  2.148887e-08  6.668460e-06  3.302069e-03
286   4.547081e+03  1.107777e+02  8.666006e-05  6.713602e-03  1.107777e+02  6.693359e+00  1.427502e-06  1.994925e-08  8.666006e-05  1.427502e-06  3.923843e-08  6.658639e-06  6.713602e-03  1.994925e-08  6.658639e-06  3.308872e-03
287   4.515161e+03  1.116135e+02  8.588411e-05  6.677575e-03  1.116135e+02  6.852046e+00  1.445507e-06  1.845153e-08  8.588411e-05  1.445507e-06  3.908410e-08  6.648863e-06  6.677575e-03  1.845153e-08  6.648863e-06  3.315659e-03
288   4.483026e+03  1.124159e+02  8.511241e-05  6.641804e-03  1.124159e+02  7.012457e+00  1.463350e-06  1.699730e-08  8.511241e-05  1.463350e-06  3.893072e-08  6.639135e-06  6.641804e-03  1.699730e-08  6.639135e-06  3.322429e-03
289   4.450683e+03  1.131864e+02  8.434487e-05  6.606280e-03  1.131864e+02  7.174547e+00  1.481028e-06  1.558815e-08  8.434487e-05  1.481028e-06  3.877830e-08  6.629452e-06  6.606280e-03  1.558815e-08  6.629452e-06  3.329182e-03
290   4.418154e+03  1.139227e+02  8.358142e-05  6.570999e-03  1.139227e+02  7.338279e+00  1.498540e-06  1.422567e-08  8.358142e-05  1.498540e-06  3.862681e-08  6.619815e-06  6.570999e-03  1.422567e-08  6.619815e-06  3.335918e-03
291   4.385447e+03  1.146257e+02  8.282199e-05  6.535953e-03  1.146257e+02  7.503630e+00  1.515885e-06  1.291145e-08  8.282199e-05  1.515885e-06  3.847625e-08  6.610225e-06  6.535953e-03  1.291145e-08  6.610225e-06  3.342635e-03
292   4.352562e+03  1.152944e+02  8.206649e-05  6.501136e-03  1.152944e+02  7.670467e+00  1.533060e-06  1.164708e-08  8.206649e-05  1.533060e-06  3.832661e-08  6.600680e-06  6.501136e-03  1.164708e-08  6.600680e-06  3.349334e-03
293   4.319514e+03  1.159291e+02  8.131485e-05  6.466542e-03  1.159291e+02  7.838864e+00  1.550064e-06  1.043414e-08  8.131485e-05  1.550064e-06  3.817787e-08  6.591180e-06  6.466542e-03  1.043414e-08  6.591180e-06  3.356015e-03
294   4.286318e+03  1.165281e+02  8.056699e-05  6.432162e-03  1.165281e+02  8.008747e+00  1.566896e-06  9.274228e-09  8.056699e-05  1.566896e-06  3.803003e-08  6.581726e-06  6.432162e-03  9.274228e-09  6.581726e-06  3.362677e-03
295   4.252973e+03  1.170922e+02  7.982283e-05  6.397992e-03  1.170922e+02  8.179967e+00  1.583553e-06  8.168931e-09  7.982283e-05  1.583553e-06  3.788308e-08  6.572316e-06  6.397992e-03  8.168931e-09  6.572316e-06  3.369320e-03
296   4.219495e+03  1.176206e+02  7.908230e-05  6.364025e-03  1.176206e+02  8.352599e+00  1.600034e-06  7.119838e-09  7.908230e-05  1.600034e-06  3.773700e-08  6.562952e-06  6.364025e-03  7.119838e-09  6.562952e-06  3.375944e-03
297   4.185884e+03  1.181120e+02  7.834532e-05  6.330253e-03  1.181120e+02  8.526494e+00  1.616338e-06  6.128538e-09  7.834532e-05  1.616338e-06  3.759179e-08  6.553632e-06  6.330253e-03  6.128538e-09  6.553632e-06  3.382549e-03
298   4.152161e+03  1.185670e+02  7.761182e-05  6.296670e-03  1.185670e+02  8.701652e+00  1.632462e-06  5.196621e-09  7.761182e-05  1.632462e-06  3.744743e-08  6.544356e-06  6.296670e-03  5.196621e-09  6.544356e-06  3.389133e-03
299   4.118335e+03  1.189856e+02  7.688171e-05  6.263270e-03  1.189856e+02  8.877999e+00  1.648405e-06  4.325675e-09  7.688171e-05  1.648405e-06  3.730392e-08  6.535124e-06  6.263270e-03  4.325675e-09  6.535124e-06  3.395698e-03
300   4.084413e+03  1.193671e+02  7.615491e-05  6.230047e-03  1.193671e+02  9.055461e+00  1.664166e-06  3.517289e-09  7.615491e-05  1.664166e-06  3.716124e-08  6.525937e-06  6.230047e-03  3.517289e-09  6.525937e-06  3.402242e-03
301   4.050410e+03  1.197115e+02  7.543138e-05  6.196994e-03  1.197115e+02  9.234111e+00  1.679742e-06  2.772571e-09  7.543138e-05  1.679742e-06  3.701939e-08  6.516793e-06  6.196994e-03  2.772571e-09  6.516793e-06  3.408765e-03
302   4.016340e+03  1.200188e+02  7.471110e-05  6.164111e-03  1.200188e+02  9.413727e+00  1.695132e-06  2.090693e-09  7.471110e-05  1.695132e-06  3.687836e-08  6.507692e-06  6.164111e-03  2.090693e-09  6.507692e-06  3.415268e-03
303   3.982211e+03  1.202890e+02  7.399411e-05  6.131398e-03  1.202890e+02  9.594383e+00  1.710335e-06  1.470349e-09  7.399411e-05  1.710335e-06  3.673814e-08  6.498634e-06  6.131398e-03  1.470349e-09  6.498634e-06  3.421751e-03
304   3.948038e+03  1.205220e+02  7.328040e-05  6.098856e-03  1.205220e+02  9.776006e+00  1.725348e-06  9.102298e-10  7.328040e-05  1.725348e-06  3.659873e-08  6.489619e-06  6.098856e-03  9.102298e-10  6.489619e-06  3.428213e-03
305   3.913836e+03  1.207172e+02  7.257001e-05  6.066484e-03  1.207172e+02  9.958520e+00  1.740171e-06  4.090265e-10  7.257001e-05  1.740171e-06  3.646011e-08  6.480645e-06  6.066484e-03  4.090265e-10  6.480645e-06  3.434655e-03
306   3.879604e+03  1.208745e+02  7.186295e-05  6.034284e-03  1.208745e+02  1.014193e+01  1.754802e-06 -3.456907e-11  7.186295e-05  1.754802e-06  3.632230e-08  6.471712e-06  6.034284e-03 -3.456907e-11  6.471712e-06  3.441076e-03
307   3.845366e+03  1.209940e+02  7.115924e-05  6.002255e-03  1.209940e+02  1.032607e+01  1.769239e-06 -4.218652e-10  7.115924e-05  1.769239e-06  3.618527e-08  6.462820e-06  6.002255e-03 -4.218652e-10  6.462820e-06  3.447478e-03
308   3.811127e+03  1.210755e+02  7.045889e-05  5.970398e-03  1.210755e+02  1.051097e+01  1.783480e-06 -7.541703e-10  7.045889e-05  1.783480e-06  3.604903e-08  6.453969e-06  5.970398e-03 -7.541703e-10  6.453969e-06  3.453859e-03
309   3.776897e+03  1.211193e+02  6.976193e-05  5.938714e-03  1.211193e+02  1.069653e+01  1.797525e-06 -1.032793e-09  6.976193e-05  1.797525e-06  3.591357e-08  6.445157e-06  5.938714e-03 -1.032793e-09  6.445157e-06  3.460221e-03
310   3.742674e+03  1.211251e+02  6.906836e-05  5.907201e-03  1.211251e+02  1.088261e+01  1.811371e-06 -1.259041e-09  6.906836e-05  1.811371e-06  3.577888e-08  6.436385e-06  5.907201e-03 -1.259041e-09  6.436385e-06  3.466562e-03
311   3.708488e+03  1.210916e+02  6.837822e-05  5.875862e-03  1.210916e+02  1.106929e+01  1.825016e-06 -1.434223e-09  6.837822e-05  1.825016e-06  3.564496e-08  6.427651e-06  5.875862e-03 -1.434223e-09  6.427651e-06  3.472884e-03
312   3.674333e+03  1.210202e+02  6.769151e-05  5.844696e-03  1.210202e+02  1.125641e+01  1.838460e-06 -1.559648e-09  6.769151e-05  1.838460e-06  3.551180e-08  6.418956e-06  5.844696e-03 -1.559648e-09  6.418956e-06  3.479186e-03
313   3.640230e+03  1.209102e+02  6.700826e-05  5.813703e-03  1.209102e+02  1.144398e+01  1.851701e-06 -1.636624e-09  6.700826e-05  1.851701e-06  3.537940e-08  6.410299e-06  5.813703e-03 -1.636624e-09  6.410299e-06  3.485468e-03
314   3.606186e+03  1.207616e+02  6.632847e-05  5.782885e-03  1.207616e+02  1.163184e+01  1.864737e-06 -1.666459e-09  6.632847e-05  1.864737e-06  3.524775e-08  6.401679e-06  5.782885e-03 -1.666459e-09  6.401679e-06  3.491731e-03
315   3.572202e+03  1.205744e+02  6.565218e-05  5.752240e-03  1.205744e+02  1.181993e+01  1.877566e-06 -1.650462e-09  6.565218e-05  1.877566e-06  3.511684e-08  6.393096e-06  5.752240e-03 -1.650462e-09  6.393096e-06  3.497974e-03
316   3.538300e+03  1.203485e+02  6.497939e-05  5.721770e-03  1.203485e+02  1.200832e+01  1.890187e-06 -1.589941e-09  6.497939e-05  1.890187e-06  3.498667e-08  6.384550e-06  5.721770e-03 -1.589941e-09  6.384550e-06  3.504198e-03
317   3.504487e+03  1.200847e+02  6.431013e-05  5.691475e-03  1.200847e+02  1.219678e+01  1.902599e-06 -1.486205e-09  6.431013e-05  1.902599e-06  3.485723e-08  6.376039e-06  5.691475e-03 -1.486205e-09  6.376039e-06  3.510403e-03
318   3.470778e+03  1.197824e+02  6.364440e-05  5.661355e-03  1.197824e+02  1.238531e+01  1.914799e-06 -1.340561e-09  6.364440e-05  1.914799e-06  3.472853e-08  6.367564e-06  5.661355e-03 -1.340561e-09  6.367564e-06  3.516588e-03
319   3.437174e+03  1.194414e+02  6.298224e-05  5.631410e-03  1.194414e+02  1.257385e+01  1.926786e-06 -1.154319e-09  6.298224e-05  1.926786e-06  3.460054e-08  6.359123e-06  5.631410e-03 -1.154319e-09  6.359123e-06  3.522754e-03
320   3.403681e+03  1.190625e+02  6.232366e-05  5.601641e-03  1.190625e+02  1.276239e+01  1.938560e-06 -9.287859e-10  6.232366e-05  1.938560e-06  3.447327e-08  6.350718e-06  5.601641e-03 -9.287859e-10  6.350718e-06  3.528902e-03
321   3.370329e+03  1.186457e+02  6.166867e-05  5.572049e-03  1.186457e+02  1.295078e+01  1.950117e-06 -6.652714e-10  6.166867e-05  1.950117e-06  3.434671e-08  6.342346e-06  5.572049e-03 -6.652714e-10  6.342346e-06  3.535030e-03
322   3.337104e+03  1.181903e+02  6.101729e-05  5.542633e-03  1.181903e+02  1.313894e+01  1.961456e-06 -3.650833e-10  6.101729e-05  1.961456e-06  3.422086e-08  6.334007e-06  5.542633e-03 -3.650833e-10  6.334007e-06  3.541139e-03
323   3.304034e+03  1.176970e+02  6.036955e-05  5.513394e-03  1.176970e+02  1.332681e+01  1.972577e-06 -2.953005e-11  6.036955e-05  1.972577e-06  3.409571e-08  6.325702e-06  5.513394e-03 -2.953005e-11  6.325702e-06  3.547230e-03
324   3.271113e+03  1.171666e+02  5.972545e-05  5.484331e-03  1.171666e+02  1.351431e+01  1.983476e-06  3.400799e-10  5.972545e-05  1.983476e-06  3.397125e-08  6.317429e-06  5.484331e-03  3.400799e-10  6.317429e-06  3.553302e-03
325   3.238363e+03  1.165982e+02  5.908502e-05  5.455447e-03  1.165982e+02  1.370144e+01  1.994154e-06  7.424383e-10  5.908502e-05  1.994154e-06  3.384748e-08  6.309188e-06  5.455447e-03  7.424383e-10  6.309188e-06  3.559355e-03
326   3.205784e+03  1.159927e+02  5.844827e-05  5.426740e-03  1.159927e+02  1.388812e+01  2.004607e-06  1.176237e-09  5.844827e-05  2.004607e-06  3.372439e-08  6.300978e-06  5.426740e-03  1.176237e-09  6.300978e-06  3.565390e-03
327   3.173391e+03  1.153493e+02  5.781522e-05  5.398211e-03  1.153493e+02  1.407421e+01  2.014835e-06  1.640166e-09  5.781522e-05  2.014835e-06  3.360197e-08  6.292800e-06  5.398211e-03  1.640166e-09  6.292800e-06  3.571406e-03
328   3.141190e+03  1.146688e+02  5.718589e-05  5.369861e-03  1.146688e+02  1.425963e+01  2.024837e-06  2.132919e-09  5.718589e-05  2.024837e-06  3.348023e-08  6.284652e-06  5.369861e-03  2.132919e-09  6.284652e-06  3.577404e-03
329   3.109190e+03  1.139526e+02  5.656030e-05  5.341690e-03  1.139526e+02  1.444438e+01  2.034609e-06  2.653187e-09  5.656030e-05  2.034609e-06  3.335915e-08  6.276534e-06  5.341690e-03  2.653187e-09  6.276534e-06  3.583384e-03
330   3.077406e+03  1.131992e+02  5.593847e-05  5.313697e-03  1.131992e+02  1.462832e+01  2.044151e-06  3.199662e-09  5.593847e-05  2.044151e-06  3.323874e-08  6.268445e-06  5.313697e-03  3.199662e-09  6.268445e-06  3.589345e-03
331   3.045836e+03  1.124094e+02  5.532040e-05  5.285884e-03  1.124094e+02  1.481144e+01  2.053462e-06  3.771034e-09  5.532040e-05  2.053462e-06  3.311897e-08  6.260386e-06  5.285884e-03  3.771034e-09  6.260386e-06  3.595289e-03
332   3.014497e+03  1.115832e+02  5.470612e-05  5.258251e-03  1.115832e+02  1.499366e+01  2.062539e-06  4.365996e-09  5.470612e-05  2.062539e-06  3.299986e-08  6.252355e-06  5.258251e-03  4.365996e-09  6.252355e-06  3.601214e-03
333   2.983388e+03  1.107220e+02  5.409565e-05  5.230799e-03  1.107220e+02  1.517485e+01  2.071381e-06  4.983239e-09  5.409565e-05  2.071381e-06  3.288139e-08  6.244352e-06  5.230799e-03  4.983239e-09  6.244352e-06  3.607121e-03
334   2.952524e+03  1.098252e+02  5.348901e-05  5.203526e-03  1.098252e+02  1.535500e+01  2.079986e-06  5.621454e-09  5.348901e-05  2.079986e-06  3.276355e-08  6.236377e-06  5.203526e-03  5.621454e-09  6.236377e-06  3.613011e-03
335   2.921920e+03  1.088934e+02  5.288621e-05  5.176434e-03  1.088934e+02  1.553396e+01  2.088354e-06  6.279335e-09  5.288621e-05  2.088354e-06  3.264635e-08  6.228429e-06  5.176434e-03  6.279335e-09  6.228429e-06  3.618882e-03
336   2.891575e+03  1.079267e+02  5.228727e-05  5.149524e-03  1.079267e+02  1.571174e+01  2.096482e-06  6.955571e-09  5.228727e-05  2.096482e-06  3.252977e-08  6.220508e-06  5.149524e-03  6.955571e-09  6.220508e-06  3.624736e-03
337   2.861498e+03  1.069265e+02  5.169220e-05  5.122795e-03  1.069265e+02  1.588825e+01  2.104368e-06  7.648855e-09  5.169220e-05  2.104368e-06  3.241381e-08  6.212612e-06  5.122795e-03  7.648855e-09  6.212612e-06  3.630573e-03
338   2.831696e+03  1.058921e+02  5.110103e-05  5.096247e-03  1.058921e+02  1.606342e+01  2.112012e-06  8.357878e-09  5.110103e-05  2.112012e-06  3.229846e-08  6.204743e-06  5.096247e-03  8.357878e-09  6.204743e-06  3.636392e-03
339   2.802182e+03  1.048250e+02  5.051378e-05  5.069882e-03  1.048250e+02  1.623719e+01  2.119411e-06  9.081332e-09  5.051378e-05  2.119411e-06  3.218373e-08  6.196898e-06  5.069882e-03  9.081332e-09  6.196898e-06  3.642193e-03
340   2.772966e+03  1.037252e+02  4.993046e-05  5.043699e-03  1.037252e+02  1.640954e+01  2.126564e-06  9.817909e-09  4.993046e-05  2.126564e-06  3.206959e-08  6.189078e-06  5.043699e-03  9.817909e-09  6.189078e-06  3.647977e-03
341   2.744046e+03  1.025927e+02  4.935108e-05  5.017699e-03  1.025927e+02  1.658026e+01  2.133470e-06  1.056630e-08  4.935108e-05  2.133470e-06  3.195606e-08  6.181283e-06  5.017699e-03  1.056630e-08  6.181283e-06  3.653744e-03
342   2.715431e+03  1.014274e+02  4.877567e-05  4.991882e-03  1.014274e+02  1.674935e+01  2.140126e-06  1.132520e-08  4.877567e-05  2.140126e-06  3.184311e-08  6.173511e-06  4.991882e-03  1.132520e-08  6.173511e-06  3.659494e-03
343   2.687127e+03  1.002309e+02  4.820425e-05  4.966249e-03  1.002309e+02  1.691672e+01  2.146532e-06  1.209329e-08  4.820425e-05  2.146532e-06  3.173075e-08  6.165762e-06  4.966249e-03  1.209329e-08  6.165762e-06  3.665226e-03
344   2.659135e+03  9.900244e+01  4.763682e-05  4.940799e-03  9.900244e+01  1.708225e+01  2.152685e-06  1.286927e-08  4.763682e-05  2.152685e-06  3.161897e-08  6.158036e-06  4.940799e-03  1.286927e-08  6.158036e-06  3.670942e-03
345   2.631462e+03  9.774272e+01  4.707342e-05  4.915534e-03  9.774272e+01  1.724591e+01  2.158585e-06  1.365184e-08  4.707342e-05  2.158585e-06  3.150777e-08  6.150332e-06  4.915534e-03  1.365184e-08  6.150332e-06  3.676641e-03
346   2.604116e+03  9.645176e+01  4.651405e-05  4.890452e-03  9.645176e+01  1.740757e+01  2.164229e-06  1.443967e-08  4.651405e-05  2.164229e-06  3.139713e-08  6.142649e-06  4.890452e-03  1.443967e-08  6.142649e-06  3.682322e-03
347   2.577095e+03  9.513030e+01  4.595874e-05  4.865556e-03  9.513030e+01  1.756723e+01  2.169616e-06  1.523147e-08  4.595874e-05  2.169616e-06  3.128706e-08  6.134988e-06  4.865556e-03  1.523147e-08  6.134988e-06  3.687987e-03
348   2.550409e+03  9.377833e+01  4.540750e-05  4.840844e-03  9.377833e+01  1.772465e+01  2.174744e-06  1.602592e-08  4.540750e-05  2.174744e-06  3.117754e-08  6.127348e-06  4.840844e-03  1.602592e-08  6.127348e-06  3.693636e-03
349   2.524071e+03  9.239809e+01  4.486034e-05  4.816318e-03  9.239809e+01  1.788000e+01  2.179612e-06  1.682172e-08  4.486034e-05  2.179612e-06  3.106858e-08  6.119728e-06  4.816318e-03  1.682172e-08  6.119728e-06  3.699267e-03
350   2.498082e+03  9.098882e+01  4.431730e-05  4.791978e-03  9.098882e+01  1.803312e+01  2.184218e-06  1.761756e-08  4.431730e-05  2.184218e-06  3.096016e-08  6.112128e-06  4.791978e-03  1.761756e-08  6.112128e-06  3.704883e-03
351   2.472457e+03  8.955202e+01  4.377838e-05  4.767823e-03  8.955202e+01  1.818401e+01  2.188561e-06  1.841231e-08  4.377838e-05  2.188561e-06  3.085229e-08  6.104547e-06  4.767823e-03  1.841231e-08  6.104547e-06  3.710481e-03
352   2.447202e+03  8.808843e+01  4.324358e-05  4.743852e-03  8.808843e+01  1.833260e+01  2.192644e-06  1.920557e-08  4.324358e-05  2.192644e-06  3.074495e-08  6.096985e-06  4.743852e-03  1.920557e-08  6.096985e-06  3.716064e-03
353   2.422318e+03  8.659805e+01  4.271289e-05  4.720061e-03  8.659805e+01  1.847882e+01  2.196467e-06  1.999710e-08  4.271289e-05  2.196467e-06  3.063814e-08  6.089443e-06  4.720061e-03  1.999710e-08  6.089443e-06  3.721631e-03
354   2.397813e+03  8.508311e+01  4.218632e-05  4.696448e-03  8.508311e+01  1.862266e+01  2.200035e-06  2.078668e-08  4.218632e-05  2.200035e-06  3.053186e-08  6.081919e-06  4.696448e-03  2.078668e-08  6.081919e-06  3.727182e-03
355   2.373701e+03  8.354286e+01  4.166386e-05  4.673009e-03  8.354286e+01  1.876397e+01  2.203348e-06  2.157408e-08  4.166386e-05  2.203348e-06  3.042612e-08  6.074414e-06  4.673009e-03  2.157408e-08  6.074414e-06  3.732717e-03
356   2.349975e+03  8.197807e+01  4.114551e-05  4.649743e-03  8.197807e+01  1.890275e+01  2.206410e-06  2.235908e-08  4.114551e-05  2.206410e-06  3.032090e-08  6.066928e-06  4.649743e-03  2.235908e-08  6.066928e-06  3.738237e-03
357   2.326642e+03  8.038946e+01  4.063125e-05  4.626645e-03  8.038946e+01  1.903894e+01  2.209223e-06  2.314145e-08  4.063125e-05  2.209223e-06  3.021619e-08  6.059461e-06  4.626645e-03  2.314145e-08  6.059461e-06  3.743742e-03
358   2.303710e+03  7.877779e+01  4.012110e-05  4.603714e-03  7.877779e+01  1.917246e+01  2.211789e-06  2.392097e-08  4.012110e-05  2.211789e-06  3.011201e-08  6.052013e-06  4.603714e-03  2.392097e-08  6.052013e-06  3.749232e-03
359   2.281178e+03  7.714305e+01  3.961503e-05  4.580947e-03  7.714305e+01  1.930315e+01  2.214111e-06  2.469740e-08  3.961503e-05  2.214111e-06  3.000834e-08  6.044583e-06  4.580947e-03  2.469740e-08  6.044583e-06  3.754707e-03
360   2.259047e+03  7.548674e+01  3.911306e-05  4.558340e-03  7.548674e+01  1.943102e+01  2.216190e-06  2.547052e-08  3.911306e-05  2.216190e-06  2.990519e-08  6.037172e-06  4.558340e-03  2.547052e-08  6.037172e-06  3.760168e-03
361   2.237325e+03  7.380782e+01  3.861517e-05  4.535892e-03  7.380782e+01  1.955599e+01  2.218031e-06  2.624010e-08  3.861517e-05  2.218031e-06  2.980254e-08  6.029779e-06  4.535892e-03  2.624010e-08  6.029779e-06  3.765614e-03
362   2.216011e+03  7.210814e+01  3.812136e-05  4.513598e-03  7.210814e+01  1.967799e+01  2.219633e-06  2.700592e-08  3.812136e-05  2.219633e-06  2.970040e-08  6.022405e-06  4.513598e-03  2.700592e-08  6.022405e-06  3.771047e-03
363   2.195119e+03  7.038830e+01  3.763163e-05  4.491457e-03  7.038830e+01  1.979694e+01  2.221001e-06  2.776775e-08  3.763163e-05  2.221001e-06  2.959877e-08  6.015048e-06  4.491457e-03  2.776775e-08  6.015048e-06  3.776466e-03
364   2.174636e+03  6.864898e+01  3.714597e-05  4.469466e-03  6.864898e+01  1.991285e+01  2.222137e-06  2.852536e-08  3.714597e-05  2.222137e-06  2.949763e-08  6.007710e-06  4.469466e-03  2.852536e-08  6.007710e-06  3.781871e-03
365   2.154584e+03  6.689099e+01  3.666438e-05  4.447621e-03  6.689099e+01  2.002564e+01  2.223042e-06  2.927853e-08  3.666438e-05  2.223042e-06  2.939699e-08  6.000391e-06  4.447621e-03  2.927853e-08  6.000391e-06  3.787262e-03
366   2.134954e+03  6.511515e+01  3.618686e-05  4.425920e-03  6.511515e+01  2.013524e+01  2.223720e-06  3.002703e-08  3.618686e-05  2.223720e-06  2.929684e-08  5.993089e-06  4.425920e-03  3.002703e-08  5.993089e-06  3.792641e-03
