     0 1.583789139638e-06 1.583789139638e-06
     1 1.575912507524e-06 1.635407989197e-06
     2 1.566308463003e-06 1.646624849988e-06
     3 1.561569911205e-06 1.659078663987e-06
     4 1.559771072749e-06 1.672035886225e-06
     5 1.553971190563e-06 1.679033281713e-06
     6 1.553364159084e-06 1.689580474951e-06
     7 1.554634035358e-06 1.700658403489e-06
     8 1.556095983968e-06 1.710795860213e-06
     9 1.553794835254e-06 1.716215175445e-06
    10 1.551100611081e-06 1.720385331220e-06
    11 1.627899893220e-06 1.803357842923e-06
    12 1.566815140947e-06 1.747786585757e-06
    13 1.532359239743e-06 1.718262985019e-06
    14 1.522041522067e-06 1.712359205022e-06
    15 1.526690062580e-06 1.720981860242e-06
    16 1.524777020819e-06 1.722634526143e-06
    17 1.529450682064e-06 1.730496903930e-06
    18 1.522500962862e-06 1.726421742007e-06
    19 1.518845109288e-06 1.725326286445e-06
    20 1.515059620705e-06 1.723802744573e-06
    21 1.514531255117e-06 1.725284998283e-06
    22 1.520672898028e-06 1.733217349006e-06
    23 1.522286227166e-06 1.736401474472e-06
    24 1.519954545546e-06 1.735452093619e-06
    25 1.522319587709e-06 1.738995233027e-06
    26 1.523146934113e-06 1.740843597043e-06
    27 1.521609402893e-06 1.740170003803e-06
    28 1.516577072012e-06 1.735860239233e-06
    29 1.518874008974e-06 1.738738370836e-06
    30 1.521337698078e-06 1.741673298837e-06
    31 1.524748052005e-06 1.745413519993e-06
    32 1.527142964782e-06 1.748059760183e-06
    33 1.530478856757e-06 1.751537023827e-06
    34 1.539742012314e-06 1.760847303274e-06
    35 1.540150160907e-06 1.761224035940e-06
    36 1.546867766343e-06 1.767815977670e-06
    37 1.546986145851e-06 1.767745861619e-06
    38 1.552168016675e-06 1.772660697068e-06
    39 1.552641006955e-06 1.772803820119e-06
    40 1.557794978840e-06 1.777580800885e-06
    41 1.562096465132e-06 1.781442464206e-06
    42 1.563150333566e-06 1.781993677815e-06
    43 1.564971848991e-06 1.783281122489e-06
    44 1.574037293056e-06 1.791749663950e-06
    45 1.575828508202e-06 1.792912560565e-06
    46 1.578042230378e-06 1.794450840320e-06
    47 1.582863742686e-06 1.798565494281e-06
    48 1.586352083011e-06 1.801315560333e-06
    49 1.591296634846e-06 1.805490421968e-06
    50 1.595858473188e-06 1.809251154183e-06
    51 1.596220411909e-06 1.808780570851e-06
    52 1.602902694155e-06 1.814614623080e-06
    53 1.604818247215e-06 1.815650530197e-06
    54 1.609047716471e-06 1.818984645547e-06
    55 1.613837781000e-06 1.822847940244e-06
    56 1.615344945678e-06 1.823412627125e-06
    57 1.621741115312e-06 1.828866318963e-06
    58 1.626949442111e-06 1.833100752039e-06
    59 1.634865312225e-06 1.840027020468e-06
    60 1.637305886929e-06 1.841477993485e-06
    61 1.643322790930e-06 1.846489587838e-06
    62 1.648109701664e-06 1.850255480959e-06
    63 1.657085972798e-06 1.858210734481e-06
    64 1.658127211356e-06 1.858215247463e-06
    65 1.667579707192e-06 1.866615309760e-06
    66 1.671164682992e-06 1.869147852021e-06
    67 1.675940953200e-06 1.872871688690e-06
    68 1.683026231385e-06 1.878888825373e-06
    69 1.684083115505e-06 1.878877567991e-06
    70 1.686075565178e-06 1.879801876162e-06
    71 1.692826883471e-06 1.885469344989e-06
    72 1.699127411402e-06 1.890701731418e-06
    73 1.708456410617e-06 1.898946881167e-06
    74 1.713056996029e-06 1.902463617114e-06
    75 1.719819400400e-06 1.908142172020e-06
    76 1.726079693217e-06 1.913318615371e-06
    77 1.732066139668e-06 1.918221212356e-06
    78 1.737479549914e-06 1.922566481100e-06
    79 1.742737957661e-06 1.926741039382e-06
    80 1.748277009388e-06 1.931196241644e-06
    81 1.757028104278e-06 1.938863487068e-06
    82 1.761867510278e-06 1.942634751565e-06
    83 1.766506189240e-06 1.946205289025e-06
    84 1.774542433385e-06 1.953157683705e-06
    85 1.779822279187e-06 1.957369388005e-06
    86 1.787533779190e-06 1.964028454469e-06
    87 1.792472763208e-06 1.967899296984e-06
    88 1.803018744279e-06 1.977392844517e-06
    89 1.814288824188e-06 1.987594782923e-06
    90 1.825719052011e-06 1.997972577208e-06
    91 1.833755355394e-06 2.004972155014e-06
    92 1.839841223002e-06 2.010021297047e-06
    93 1.845721792218e-06 2.014865140688e-06
    94 1.852731530849e-06 2.020838153743e-06
    95 1.859774629910e-06 2.026860235192e-06
    96 1.867211784339e-06 2.033276372008e-06
    97 1.876774192449e-06 2.041817762506e-06
    98 1.886182037518e-06 2.050220297925e-06
    99 1.892819174383e-06 2.055852125141e-06
   100 1.904009971435e-06 2.066037612544e-06
   101 1.911955289566e-06 2.072993328989e-06
   102 1.927654908049e-06 2.087703345786e-06
   103 1.934556472534e-06 2.093615308585e-06
   104 1.943087633021e-06 2.101172575350e-06
   105 1.956189816947e-06 2.113300865553e-06
   106 1.967357771268e-06 2.123504350930e-06
   107 1.975622175186e-06 2.130810569088e-06
   108 1.986688343134e-06 2.140923263666e-06
   109 1.996006377157e-06 2.149294107504e-06
   110 2.006158539466e-06 2.158506933609e-06
   111 2.018671456552e-06 2.170085226881e-06
   112 2.029281021045e-06 2.179768021540e-06
   113 2.039901156236e-06 2.189466099288e-06
   114 2.052798761401e-06 2.201449500991e-06
   115 2.066342640658e-06 2.214085459971e-06
   116 2.079724946648e-06 2.226564558073e-06
   117 2.088897512482e-06 2.234841770001e-06
   118 2.098652595033e-06 2.243707781830e-06
   119 2.108723283345e-06 2.252897253404e-06
   120 2.121409481525e-06 2.264706947233e-06
